Description,Score,Facilities,District,Neighbourhood,Room type,Price,Minimum nights,Host name,Number of reviews,Last review,Latitude,Longitude
Rental unit in lisbon,★5.0,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,96,7,Patrícia,28,2023-06-05,38.71235,-9.1275
Rental unit in lisbon,★4.81,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,92,3,Patrícia,53,2023-05-26,38.71252,-9.12911
Villa in fontanelas - sintra,★4.80,"2 bedrooms, 3 beds, 1 bath",Sintra,So Joo das Lampas e Terrugem,Entire home/apt,80,2,Claire,159,2023-05-23,38.8475,-9.45225
Rental unit in lisbon,★4.77,"2 bedrooms, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,172,3,Leo,278,2023-06-04,38.71298,-9.14541
Rental unit in lisbon,★4.81,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,85,2,Juan,292,2023-06-08,38.71236,-9.13129
Rental unit in lisbon,★3.80,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,80,6,José,10,2022-08-31,38.71413,-9.14425
Rental unit in lisbon,★4.70,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,64,2,Fabien & Marcia,378,2023-05-29,38.71066,-9.12902
Rental unit in lisbon,★4.82,"2 bedrooms, 3 beds, 1.5 baths",Lisboa,Santa Maria Maior,Entire home/apt,150,3,Jp,363,2023-05-29,38.70989,-9.13637
Rental unit in lisbon,★4.88,"1 bedroom, 2 beds, 1 bath",Lisboa,Misericrdia,Entire home/apt,140,4,Alexandre And Carolina,492,2023-06-08,38.71133,-9.14796
Rental unit in lisboa,★4.97,"2 bedrooms, 3 beds, 1 bath",Lisboa,Santo Antnio,Entire home/apt,188,3,Margarida,36,2023-05-20,38.71821,-9.15398
Rental unit in lisbon,★4.49,"1 bedroom, 1 bed, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,70,2,Silvia,344,2022-11-01,38.7126,-9.12791
Rental unit in lisbon,★4.68,"1 bedroom, 1 bed, 1 bath",Lisboa,Misericrdia,Entire home/apt,80,5,José,31,2023-01-12,38.71304,-9.14684
Rental unit in lisbon,★4.60,"1 bedroom, 1 bed, 1 bath",Lisboa,Alvalade,Private room,35,1,Armando,5,2016-08-10,38.75377,-9.14852
Rental unit in lisboa,★4.84,"1 bedroom, 2 beds, 1 bath",Lisboa,Santa Maria Maior,Entire home/apt,55,3,Diogo And Maria,481,2023-06-06,38.71231,-9.12918
